Starting training: agents=12 reward=shared contrastive=False device=mps
update=0 steps=6144 elapsed=5s effrank_n=0.559 d_act=0.0000 loss=-0.0881
update=1 steps=12288 elapsed=9s effrank_n=0.580 d_act=0.0000 loss=-0.0557
update=2 steps=18432 elapsed=13s effrank_n=0.571 d_act=0.0000 loss=-0.1443
update=3 steps=24576 elapsed=17s effrank_n=0.564 d_act=0.0000 loss=-0.0205
update=4 steps=30720 elapsed=22s effrank_n=0.556 d_act=0.0000 loss=-0.0548
update=5 steps=36864 elapsed=26s effrank_n=0.560 d_act=0.0000 loss=-0.0708
update=6 steps=43008 elapsed=30s effrank_n=0.557 d_act=0.0000 loss=-0.0237
update=7 steps=49152 elapsed=35s effrank_n=0.555 d_act=0.0000 loss=-0.0954
update=8 steps=55296 elapsed=39s effrank_n=0.552 d_act=0.0000 loss=-0.1095
update=9 steps=61440 elapsed=43s effrank_n=0.557 d_act=0.0000 loss=-0.1844
update=10 steps=67584 elapsed=48s effrank_n=0.552 d_act=0.0000 loss=-0.2418
update=11 steps=73728 elapsed=52s effrank_n=0.544 d_act=0.0000 loss=-0.1309
update=12 steps=79872 elapsed=56s effrank_n=0.535 d_act=0.0000 loss=-0.0254
update=13 steps=86016 elapsed=60s effrank_n=0.537 d_act=0.0000 loss=-0.1898
update=14 steps=92160 elapsed=65s effrank_n=0.539 d_act=0.0000 loss=-0.0089
update=15 steps=98304 elapsed=69s effrank_n=0.540 d_act=0.0000 loss=-0.1519
update=16 steps=104448 elapsed=73s effrank_n=0.540 d_act=0.0000 loss=0.0030
update=17 steps=110592 elapsed=78s effrank_n=0.541 d_act=0.0000 loss=-0.0074
update=18 steps=116736 elapsed=82s effrank_n=0.537 d_act=0.0000 loss=-0.0417
update=19 steps=122880 elapsed=86s effrank_n=0.532 d_act=0.0000 loss=-0.0944
update=20 steps=129024 elapsed=91s effrank_n=0.534 d_act=0.0000 loss=-0.0737
update=21 steps=135168 elapsed=95s effrank_n=0.529 d_act=0.0000 loss=0.0089
update=22 steps=141312 elapsed=100s effrank_n=0.529 d_act=0.0000 loss=-0.1091
update=23 steps=147456 elapsed=104s effrank_n=0.537 d_act=0.0000 loss=-0.1806
update=24 steps=153600 elapsed=109s effrank_n=0.534 d_act=0.0000 loss=-0.0317
update=25 steps=159744 elapsed=114s effrank_n=0.528 d_act=0.0000 loss=-0.0566
update=26 steps=165888 elapsed=118s effrank_n=0.523 d_act=0.0000 loss=0.0165
update=27 steps=172032 elapsed=123s effrank_n=0.525 d_act=0.0000 loss=0.0162
update=28 steps=178176 elapsed=127s effrank_n=0.527 d_act=0.0000 loss=-0.1003
update=29 steps=184320 elapsed=132s effrank_n=0.524 d_act=0.0000 loss=0.0190
update=30 steps=190464 elapsed=136s effrank_n=0.523 d_act=0.0000 loss=0.0100
update=31 steps=196608 elapsed=141s effrank_n=0.523 d_act=0.0000 loss=-0.1322
update=32 steps=202752 elapsed=145s effrank_n=0.522 d_act=0.0000 loss=-0.0101
