Starting training: agents=12 reward=individual contrastive=False device=mps
update=0 steps=6144 elapsed=7s effrank_n=0.792 d_act=0.0000 loss=-0.0872
update=1 steps=12288 elapsed=11s effrank_n=0.758 d_act=0.0000 loss=-0.0261
update=2 steps=18432 elapsed=15s effrank_n=0.757 d_act=0.0000 loss=-0.1494
update=3 steps=24576 elapsed=20s effrank_n=0.766 d_act=0.0000 loss=-0.0010
update=4 steps=30720 elapsed=24s effrank_n=0.767 d_act=0.0000 loss=-0.0965
update=5 steps=36864 elapsed=28s effrank_n=0.770 d_act=0.0000 loss=-0.2155
update=6 steps=43008 elapsed=32s effrank_n=0.767 d_act=0.0000 loss=-0.1225
update=7 steps=49152 elapsed=37s effrank_n=0.771 d_act=0.0000 loss=-0.1548
update=8 steps=55296 elapsed=41s effrank_n=0.788 d_act=0.0000 loss=-0.0165
update=9 steps=61440 elapsed=45s effrank_n=0.792 d_act=0.0000 loss=0.0155
update=10 steps=67584 elapsed=50s effrank_n=0.791 d_act=0.0000 loss=-0.0092
update=11 steps=73728 elapsed=54s effrank_n=0.795 d_act=0.0000 loss=-0.0408
update=12 steps=79872 elapsed=59s effrank_n=0.802 d_act=0.0000 loss=0.0034
update=13 steps=86016 elapsed=63s effrank_n=0.799 d_act=0.0000 loss=0.0183
update=14 steps=92160 elapsed=67s effrank_n=0.787 d_act=0.0000 loss=-0.0432
update=15 steps=98304 elapsed=72s effrank_n=0.778 d_act=0.0000 loss=-0.0154
update=16 steps=104448 elapsed=76s effrank_n=0.763 d_act=0.0000 loss=0.0096
update=17 steps=110592 elapsed=80s effrank_n=0.767 d_act=0.0000 loss=-0.1632
update=18 steps=116736 elapsed=85s effrank_n=0.766 d_act=0.0000 loss=-0.0709
update=19 steps=122880 elapsed=89s effrank_n=0.759 d_act=0.0000 loss=-0.1615
update=20 steps=129024 elapsed=93s effrank_n=0.760 d_act=0.0000 loss=-0.1049
update=21 steps=135168 elapsed=98s effrank_n=0.748 d_act=0.0000 loss=-0.0528
update=22 steps=141312 elapsed=102s effrank_n=0.736 d_act=0.0000 loss=0.0154
update=23 steps=147456 elapsed=106s effrank_n=0.737 d_act=0.0000 loss=-0.0261
update=24 steps=153600 elapsed=111s effrank_n=0.741 d_act=0.0000 loss=-0.0387
update=25 steps=159744 elapsed=115s effrank_n=0.743 d_act=0.0000 loss=0.0179
update=26 steps=165888 elapsed=120s effrank_n=0.737 d_act=0.0000 loss=-0.0172
update=27 steps=172032 elapsed=124s effrank_n=0.734 d_act=0.0000 loss=-0.2924
update=28 steps=178176 elapsed=128s effrank_n=0.742 d_act=0.0000 loss=-0.0820
